Age,Year,Quarter,YQ,Deaths,Population,Death_rate
0-4,2008,1,2008 Q1,88,325606,2.7026528995165936e-4
0-4,2008,2,2008 Q2,65,326223,1.9925020614732866e-4
0-4,2008,3,2008 Q3,82,326497,2.511508528409143e-4
0-4,2008,4,2008 Q4,71,326648,2.1735935931032794e-4
0-4,2009,1,2009 Q1,60,326932,1.8352440262806943e-4
0-4,2009,2,2009 Q2,60,326629,1.8369465050561954e-4
0-4,2009,3,2009 Q3,62,326651,1.8980502126122374e-4
0-4,2009,4,2009 Q4,55,326462,1.6847290036818986e-4
0-4,2010,1,2010 Q1,66,326067,2.0241238763812346e-4
0-4,2010,2,2010 Q2,78,326187,2.3912663594809113e-4
0-4,2010,3,2010 Q3,51,326034,1.5642540348552604e-4
0-4,2010,4,2010 Q4,54,325707,1.65793182215918e-4
0-4,2011,1,2011 Q1,64,325495,1.9662360404921735e-4
0-4,2011,2,2011 Q2,59,324310,1.8192470167432395e-4
0-4,2011,3,2011 Q3,55,322706,1.704337694371967e-4
0-4,2011,4,2011 Q4,70,320934,2.1811338156754972e-4
0-4,2012,1,2012 Q1,56,319203,1.7543694764773514e-4
0-4,2012,2,2012 Q2,58,317989,1.8239624641103937e-4
0-4,2012,3,2012 Q3,65,316546,2.053414037770182e-4
0-4,2012,4,2012 Q4,55,314720,1.7475851550584646e-4
0-4,2013,1,2013 Q1,54,312956,1.7254821764081852e-4
0-4,2013,2,2013 Q2,61,310893,1.962089850849006e-4
0-4,2013,3,2013 Q3,68,309086,2.2000349417314276e-4
0-4,2013,4,2013 Q4,54,306162,1.7637721206420132e-4
0-4,2014,1,2014 Q1,70,303782,2.3042839931266502e-4
0-4,2014,2,2014 Q2,56,301959,1.8545564132878967e-4
0-4,2014,3,2014 Q3,63,300553,2.0961361224143495e-4
0-4,2014,4,2014 Q4,71,299428,2.3711877312742965e-4
0-4,2015,1,2015 Q1,57,298368,1.9103925353925353e-4
0-4,2015,2,2015 Q2,63,296415,2.1253985122210415e-4
0-4,2015,3,2015 Q3,58,295288,1.9641841185554442e-4
0-4,2015,4,2015 Q4,58,294918,1.966648356492313e-4
0-4,2016,1,2016 Q1,62,294748,2.1034917963819942e-4
0-4,2016,2,2016 Q2,52,294917,1.7632079534241838e-4
0-4,2016,3,2016 Q3,64,295476,2.1659965614804585e-4
0-4,2016,4,2016 Q4,50,296879,1.6841878341007616e-4
0-4,2017,1,2017 Q1,70,298063,2.3484967943018757e-4
0-4,2017,2,2017 Q2,68,298208,2.2802875845047752e-4
0-4,2017,3,2017 Q3,84,299086,2.808556736189591e-4
0-4,2017,4,2017 Q4,45,299891,1.500545198088639e-4
0-4,2018,1,2018 Q1,74,300798,2.460122740177794e-4
0-4,2018,2,2018 Q2,65,301443,2.156294888254164e-4
0-4,2018,3,2018 Q3,53,302663,1.7511225356254317e-4
0-4,2018,4,2018 Q4,62,303940,2.0398762913732973e-4
0-4,2019,1,2019 Q1,45,304963,1.475588841925086e-4
0-4,2019,2,2019 Q2,45,305216,1.4743656951142798e-4
0-4,2019,3,2019 Q3,64,306249,2.089802742213036e-4
0-4,2019,4,2019 Q4,54,307477,1.756228921187601e-4
0-4,2020,1,2020 Q1,52,307888,1.688925843163748e-4
0-4,2020,2,2020 Q2,64,308575,2.0740500688649436e-4
0-4,2020,3,2020 Q3,51,309527,1.6476753239620453e-4
0-4,2020,4,2020 Q4,48,310088,1.5479476793684374e-4
0-4,2021,1,2021 Q1,61,309850,1.968694529611102e-4
0-4,2021,2,2021 Q2,52,310362,1.6754628466113765e-4
0-4,2021,3,2021 Q3,60,310710,1.9310611180843875e-4
0-4,2021,4,2021 Q4,60,310769,1.9306945029909676e-4
0-4,2022,1,2022 Q1,64,311412,2.0551552284433483e-4
0-4,2022,2,2022 Q2,51,311473,1.637381089211585e-4
0-4,2022,3,2022 Q3,49,312721,1.566891894052526e-4
0-4,2022,4,2022 Q4,56,312174,1.7938713666096473e-4
5-9,2008,1,2008 Q1,4,332439,1.2032282614254044e-5
5-9,2008,2,2008 Q2,12,331578,3.6190579592132166e-5
5-9,2008,3,2008 Q3,7,331417,2.1121427084307684e-5
5-9,2008,4,2008 Q4,4,331227,1.2076310204180215e-5
5-9,2009,1,2009 Q1,6,331075,1.8122781847013516e-5
5-9,2009,2,2009 Q2,4,330642,1.2097676641201056e-5
5-9,2009,3,2009 Q3,10,329869,3.0315064464984586e-5
5-9,2009,4,2009 Q4,4,329688,1.213268302152338e-5
5-9,2010,1,2010 Q1,7,329874,2.122022347926784e-5
5-9,2010,2,2010 Q2,6,329272,1.8222017055807964e-5
5-9,2010,3,2010 Q3,4,328581,1.2173558422428565e-5
5-9,2010,4,2010 Q4,4,328476,1.2177449798463206e-5
5-9,2011,1,2011 Q1,13,327867,3.965022402376573e-5
5-9,2011,2,2011 Q2,6,327392,1.832665428599355e-5
5-9,2011,3,2011 Q3,5,327556,1.5264565448350816e-5
5-9,2011,4,2011 Q4,6,328204,1.8281312842012895e-5
5-9,2012,1,2012 Q1,5,328548,1.521847644788585e-5
5-9,2012,2,2012 Q2,7,328331,2.131994846663885e-5
5-9,2012,3,2012 Q3,8,328240,2.4372410431391666e-5
5-9,2012,4,2012 Q4,5,328685,1.5212133197438277e-5
5-9,2013,1,2013 Q1,5,329520,1.5173585821801408e-5
5-9,2013,2,2013 Q2,4,330029,1.2120147017383321e-5
5-9,2013,3,2013 Q3,4,330298,1.2110276174848167e-5
5-9,2013,4,2013 Q4,7,330635,2.1171382340042647e-5
5-9,2014,1,2014 Q1,2,331146,6.0396320656145625e-6
5-9,2014,2,2014 Q2,5,330952,1.5107931059488989e-5
5-9,2014,3,2014 Q3,2,331139,6.0397597383576084e-6
5-9,2014,4,2014 Q4,5,331125,1.5100037750094376e-5
5-9,2015,1,2015 Q1,12,330947,3.625958235004397e-5
5-9,2015,2,2015 Q2,2,331343,6.036041202017245e-6
5-9,2015,3,2015 Q3,7,331703,2.110321582861777e-5
5-9,2015,4,2015 Q4,3,332068,9.034294180709974e-6
5-9,2016,1,2016 Q1,7,332625,2.1044720030063886e-5
5-9,2016,2,2016 Q2,9,332131,2.70977415537845e-5
5-9,2016,3,2016 Q3,7,331064,2.114394799797018e-5
5-9,2016,4,2016 Q4,6,330002,1.8181707989648547e-5
5-9,2017,1,2017 Q1,4,328443,1.2178673316222297e-5
5-9,2017,2,2017 Q2,4,327356,1.2219113136768533e-5
5-9,2017,3,2017 Q3,4,326098,1.2266251249624346e-5
5-9,2017,4,2017 Q4,3,324556,9.243397133314436e-6
5-9,2018,1,2018 Q1,6,322681,1.8594215339607848e-5
5-9,2018,2,2018 Q2,5,320520,1.559965056782728e-5
5-9,2018,3,2018 Q3,6,318609,1.8831859740308656e-5
5-9,2018,4,2018 Q4,4,315855,1.2664038878599358e-5
5-9,2019,1,2019 Q1,8,313253,2.5538462520710098e-5
5-9,2019,2,2019 Q2,3,311067,9.644224556124564e-6
5-9,2019,3,2019 Q3,7,309364,2.262706714420553e-5
5-9,2019,4,2019 Q4,3,307982,9.740829009487568e-6
5-9,2020,1,2020 Q1,8,306601,2.6092543729472508e-5
5-9,2020,2,2020 Q2,2,303877,6.58161032259763e-6
5-9,2020,3,2020 Q3,6,301910,1.9873472226822564e-5
5-9,2020,4,2020 Q4,5,301042,1.6608978149228346e-5
5-9,2021,1,2021 Q1,3,300360,9.98801438274071e-6
5-9,2021,2,2021 Q2,4,299867,1.3339247066199348e-5
5-9,2021,3,2021 Q3,7,299898,2.3341269364917404e-5
5-9,2021,4,2021 Q4,7,300829,2.3269033238151906e-5
5-9,2022,1,2022 Q1,1,301614,3.3154959650414105e-6
5-9,2022,2,2022 Q2,5,301734,1.6570886940152584e-5
5-9,2022,3,2022 Q3,5,305178,1.638388088263243e-5
5-9,2022,4,2022 Q4,5,306010,1.6339335315839352e-5
10-14,2008,1,2008 Q1,10,351872,2.8419425245543833e-5
10-14,2008,2,2008 Q2,13,350976,3.703956965718454e-5
10-14,2008,3,2008 Q3,9,350079,2.5708482942421566e-5
10-14,2008,4,2008 Q4,9,350251,2.569585811318169e-5
10-14,2009,1,2009 Q1,2,350079,5.712996209427015e-6
10-14,2009,2,2009 Q2,9,349299,2.5765891113344154e-5
10-14,2009,3,2009 Q3,7,348119,2.0108066494503315e-5
10-14,2009,4,2009 Q4,11,347652,3.164083623853739e-5
10-14,2010,1,2010 Q1,5,345377,1.4476933901215194e-5
10-14,2010,2,2010 Q2,9,343962,2.6165681092678842e-5
10-14,2010,3,2010 Q3,5,343314,1.45639269007381e-5
10-14,2010,4,2010 Q4,7,342262,2.0452168222005363e-5
10-14,2011,1,2011 Q1,13,341725,3.804228546345746e-5
10-14,2011,2,2011 Q2,6,340835,1.7603825898161866e-5
10-14,2011,3,2011 Q3,8,340579,2.34894106800478e-5
10-14,2011,4,2011 Q4,3,340083,8.821375958221963e-6
10-14,2012,1,2012 Q1,6,338707,1.7714425742603488e-5
