Age,Sex,Year,Quarter,YQ,Deaths,Population,Death_rate
0-4,Female,2008,1,2008 Q1,26,159026,1.6349527750179215e-4
0-4,Female,2008,2,2008 Q2,26,159308,1.6320586536771537e-4
0-4,Female,2008,3,2008 Q3,39,159337,2.447642418270709e-4
0-4,Female,2008,4,2008 Q4,36,159451,2.257746894030141e-4
0-4,Female,2009,1,2009 Q1,28,159447,1.756069414915301e-4
0-4,Female,2009,2,2009 Q2,33,159260,2.0720833856586714e-4
0-4,Female,2009,3,2009 Q3,24,159187,1.5076608014473543e-4
0-4,Female,2009,4,2009 Q4,33,159118,2.0739325531995124e-4
0-4,Female,2010,1,2010 Q1,32,158895,0.00020139085559646308
0-4,Female,2010,2,2010 Q2,33,158834,0.00020776408073838094
0-4,Female,2010,3,2010 Q3,22,158711,1.3861673103943647e-4
0-4,Female,2010,4,2010 Q4,22,158633,1.3868488902056948e-4
0-4,Female,2011,1,2011 Q1,30,158411,1.8938078795033172e-4
0-4,Female,2011,2,2011 Q2,32,157927,2.0262526357114362e-4
0-4,Female,2011,3,2011 Q3,24,157146,1.5272421824290787e-4
0-4,Female,2011,4,2011 Q4,32,156399,2.0460488877806123e-4
0-4,Female,2012,1,2012 Q1,26,155563,1.6713485854605528e-4
0-4,Female,2012,2,2012 Q2,29,154972,1.871305784270707e-4
0-4,Female,2012,3,2012 Q3,30,154205,1.9454622093965826e-4
0-4,Female,2012,4,2012 Q4,30,153187,1.9583907250615262e-4
0-4,Female,2013,1,2013 Q1,24,152285,1.5759923827034835e-4
0-4,Female,2013,2,2013 Q2,30,151386,1.9816891918671476e-4
0-4,Female,2013,3,2013 Q3,38,150431,2.526075077610333e-4
0-4,Female,2013,4,2013 Q4,21,149086,1.40858296553667e-4
0-4,Female,2014,1,2014 Q1,23,147990,1.5541590648016757e-4
0-4,Female,2014,2,2014 Q2,24,147180,1.6306563391765185e-4
0-4,Female,2014,3,2014 Q3,29,146456,1.9801168951767082e-4
0-4,Female,2014,4,2014 Q4,33,145846,2.2626606146209014e-4
0-4,Female,2015,1,2015 Q1,27,145367,1.8573679033068028e-4
0-4,Female,2015,2,2015 Q2,31,144422,2.1464873772693912e-4
0-4,Female,2015,3,2015 Q3,26,143911,1.80667217933306e-4
0-4,Female,2015,4,2015 Q4,26,143655,1.8098917545508335e-4
0-4,Female,2016,1,2016 Q1,27,143618,1.8799871882354578e-4
0-4,Female,2016,2,2016 Q2,15,143600,1.0445682451253482e-4
0-4,Female,2016,3,2016 Q3,30,143798,2.0862598923489895e-4
0-4,Female,2016,4,2016 Q4,21,144304,1.4552611154229958e-4
0-4,Female,2017,1,2017 Q1,24,144883,1.656509045229599e-4
0-4,Female,2017,2,2017 Q2,30,144967,2.0694364924431078e-4
0-4,Female,2017,3,2017 Q3,37,145421,2.5443367876716566e-4
0-4,Female,2017,4,2017 Q4,20,145812,1.3716292211889283e-4
0-4,Female,2018,1,2018 Q1,29,146439,1.9803467655474293e-4
0-4,Female,2018,2,2018 Q2,23,146683,1.568007199198271e-4
0-4,Female,2018,3,2018 Q3,25,147296,1.697262654790354e-4
0-4,Female,2018,4,2018 Q4,30,147906,2.0283152813273296e-4
0-4,Female,2019,1,2019 Q1,20,148269,1.3488996351226486e-4
0-4,Female,2019,2,2019 Q2,23,148327,1.5506280043417584e-4
0-4,Female,2019,3,2019 Q3,21,148737,1.4118880977833357e-4
0-4,Female,2019,4,2019 Q4,22,149418,1.472379499123265e-4
0-4,Female,2020,1,2020 Q1,25,149602,1.671100653734576e-4
0-4,Female,2020,2,2020 Q2,20,150005,1.333288890370321e-4
0-4,Female,2020,3,2020 Q3,27,150486,1.7941868346557156e-4
0-4,Female,2020,4,2020 Q4,16,150809,1.060944638582578e-4
0-4,Female,2021,1,2021 Q1,29,150626,1.9252984212552945e-4
0-4,Female,2021,2,2021 Q2,25,150904,1.6566823941048615e-4
0-4,Female,2021,3,2021 Q3,31,151094,2.051702913418137e-4
0-4,Female,2021,4,2021 Q4,28,151323,1.850346609570257e-4
0-4,Female,2022,1,2022 Q1,36,151555,2.3753752763023325e-4
0-4,Female,2022,2,2022 Q2,24,151571,1.5834163527323828e-4
0-4,Female,2022,3,2022 Q3,25,152121,1.643428586454204e-4
0-4,Male,2008,1,2008 Q1,62,166580,3.7219354064113336e-4
0-4,Male,2008,2,2008 Q2,39,166915,2.3365185873049156e-4
0-4,Male,2008,3,2008 Q3,43,167160,2.572385738214884e-4
0-4,Male,2008,4,2008 Q4,35,167197,2.0933389953169015e-4
0-4,Male,2009,1,2009 Q1,32,167485,1.9106188613905723e-4
0-4,Male,2009,2,2009 Q2,27,167369,1.6132019669114352e-4
0-4,Male,2009,3,2009 Q3,38,167464,2.2691444131275976e-4
0-4,Male,2009,4,2009 Q4,22,167344,1.3146572330050674e-4
