Date;Age;Sex;Deaths
2007-01-01;0-9;Female;0
2007-01-01;0-9;Male;0
2007-01-01;10-19;Female;0
2007-01-01;10-19;Male;0
2007-01-01;20-29;Female;0
2007-01-01;20-29;Male;2
2007-01-01;30-39;Female;0
2007-01-01;30-39;Male;3
2007-01-01;40-49;Female;1
2007-01-01;40-49;Male;3
2007-01-01;50-59;Female;8
2007-01-01;50-59;Male;9
2007-01-01;60-69;Female;8
2007-01-01;60-69;Male;15
2007-01-01;70-79;Female;12
2007-01-01;70-79;Male;19
2007-01-01;80-89;Female;20
2007-01-01;80-89;Male;21
2007-01-01;90+;Female;17
2007-01-01;90+;Male;9
2007-01-02;0-9;Female;0
2007-01-02;0-9;Male;1
2007-01-02;10-19;Female;0
2007-01-02;10-19;Male;2
2007-01-02;20-29;Female;1
2007-01-02;20-29;Male;1
2007-01-02;30-39;Female;0
2007-01-02;30-39;Male;1
2007-01-02;40-49;Female;2
2007-01-02;40-49;Male;7
2007-01-02;50-59;Female;3
2007-01-02;50-59;Male;10
2007-01-02;60-69;Female;10
2007-01-02;60-69;Male;13
2007-01-02;70-79;Female;24
2007-01-02;70-79;Male;23
2007-01-02;80-89;Female;36
2007-01-02;80-89;Male;14
2007-01-02;90+;Female;25
2007-01-02;90+;Male;6
2007-01-03;0-9;Female;0
2007-01-03;0-9;Male;0
2007-01-03;10-19;Female;0
2007-01-03;10-19;Male;0
2007-01-03;20-29;Female;1
2007-01-03;20-29;Male;0
2007-01-03;30-39;Female;1
2007-01-03;30-39;Male;0
2007-01-03;40-49;Female;1
2007-01-03;40-49;Male;3
2007-01-03;50-59;Female;9
2007-01-03;50-59;Male;8
2007-01-03;60-69;Female;7
2007-01-03;60-69;Male;17
2007-01-03;70-79;Female;15
2007-01-03;70-79;Male;21
2007-01-03;80-89;Female;33
2007-01-03;80-89;Male;27
2007-01-03;90+;Female;21
2007-01-03;90+;Male;7
2007-01-04;0-9;Female;0
2007-01-04;0-9;Male;0
2007-01-04;10-19;Female;1
2007-01-04;10-19;Male;1
2007-01-04;20-29;Female;0
2007-01-04;20-29;Male;1
2007-01-04;30-39;Female;0
2007-01-04;30-39;Male;0
2007-01-04;40-49;Female;3
2007-01-04;40-49;Male;4
2007-01-04;50-59;Female;9
2007-01-04;50-59;Male;8
2007-01-04;60-69;Female;16
2007-01-04;60-69;Male;14
2007-01-04;70-79;Female;24
2007-01-04;70-79;Male;15
2007-01-04;80-89;Female;40
2007-01-04;80-89;Male;23
2007-01-04;90+;Female;22
2007-01-04;90+;Male;6
2007-01-05;0-9;Female;0
2007-01-05;0-9;Male;0
2007-01-05;10-19;Female;0
2007-01-05;10-19;Male;0
2007-01-05;20-29;Female;1
2007-01-05;20-29;Male;0
2007-01-05;30-39;Female;1
2007-01-05;30-39;Male;2
2007-01-05;40-49;Female;1
2007-01-05;40-49;Male;6
2007-01-05;50-59;Female;7
2007-01-05;50-59;Male;4
2007-01-05;60-69;Female;16
2007-01-05;60-69;Male;12
2007-01-05;70-79;Female;8
2007-01-05;70-79;Male;20
2007-01-05;80-89;Female;38
2007-01-05;80-89;Male;26
2007-01-05;90+;Female;22
2007-01-05;90+;Male;4
2007-01-06;0-9;Female;1
2007-01-06;0-9;Male;1
2007-01-06;10-19;Female;0
2007-01-06;10-19;Male;0
2007-01-06;20-29;Female;1
2007-01-06;20-29;Male;0
2007-01-06;30-39;Female;0
2007-01-06;30-39;Male;1
2007-01-06;40-49;Female;1
2007-01-06;40-49;Male;4
2007-01-06;50-59;Female;5
2007-01-06;50-59;Male;8
2007-01-06;60-69;Female;12
2007-01-06;60-69;Male;7
2007-01-06;70-79;Female;17
2007-01-06;70-79;Male;14
2007-01-06;80-89;Female;29
2007-01-06;80-89;Male;25
2007-01-06;90+;Female;17
2007-01-06;90+;Male;9
2007-01-07;0-9;Female;0
2007-01-07;0-9;Male;0
2007-01-07;10-19;Female;0
2007-01-07;10-19;Male;0
2007-01-07;20-29;Female;1
2007-01-07;20-29;Male;1
2007-01-07;30-39;Female;0
2007-01-07;30-39;Male;0
2007-01-07;40-49;Female;2
2007-01-07;40-49;Male;2
2007-01-07;50-59;Female;4
2007-01-07;50-59;Male;11
2007-01-07;60-69;Female;7
2007-01-07;60-69;Male;11
2007-01-07;70-79;Female;22
2007-01-07;70-79;Male;24
2007-01-07;80-89;Female;37
2007-01-07;80-89;Male;23
2007-01-07;90+;Female;17
2007-01-07;90+;Male;7
2007-01-08;0-9;Female;0
2007-01-08;0-9;Male;0
2007-01-08;10-19;Female;0
2007-01-08;10-19;Male;0
2007-01-08;20-29;Female;0
2007-01-08;20-29;Male;0
2007-01-08;30-39;Female;0
2007-01-08;30-39;Male;3
2007-01-08;40-49;Female;2
2007-01-08;40-49;Male;3
2007-01-08;50-59;Female;4
2007-01-08;50-59;Male;10
2007-01-08;60-69;Female;13
2007-01-08;60-69;Male;17
2007-01-08;70-79;Female;23
2007-01-08;70-79;Male;28
2007-01-08;80-89;Female;38
2007-01-08;80-89;Male;27
2007-01-08;90+;Female;18
2007-01-08;90+;Male;9
2007-01-09;0-9;Female;0
2007-01-09;0-9;Male;2
2007-01-09;10-19;Female;0
2007-01-09;10-19;Male;1
2007-01-09;20-29;Female;1
2007-01-09;20-29;Male;0
2007-01-09;30-39;Female;1
2007-01-09;30-39;Male;0
2007-01-09;40-49;Female;2
2007-01-09;40-49;Male;5
2007-01-09;50-59;Female;4
2007-01-09;50-59;Male;8
2007-01-09;60-69;Female;14
2007-01-09;60-69;Male;11
2007-01-09;70-79;Female;15
2007-01-09;70-79;Male;20
2007-01-09;80-89;Female;27
2007-01-09;80-89;Male;27
2007-01-09;90+;Female;20
2007-01-09;90+;Male;5
2007-01-10;0-9;Female;0
2007-01-10;0-9;Male;0
2007-01-10;10-19;Female;0
2007-01-10;10-19;Male;0
2007-01-10;20-29;Female;0
2007-01-10;20-29;Male;1
2007-01-10;30-39;Female;1
2007-01-10;30-39;Male;1
2007-01-10;40-49;Female;1
